stripped_cell_line_name	DepMap_ID	CCLE_name	alias	disease	Name	Pathology	Site_Primary	Histology	Disease	type	type_refined	PATHOLOGIST_ANNOTATION	mutRate	tcga_code	TIPARP.log2TPM	ADAR.log2TPM	CYP1B1.log2TPM	ISG.score	ISG.score.group	TIPARP.log2CN	TIPARP.CRISPR.Avana	ADAR.CRISPR.Avana	RBN2397.GI50.geomean	chempartner.RBN011364.GI50_nm	chempartner.RBN011637.GI50_nm	chempartner.RBN011685.GI50_nm	ribon.RBN011364.GI50_nm	merged.RBN011364.GI50_nm	RBN011364.002.horizon.GI50_nm	RBN011595.001.horizon.GI50_nm	RBN011628.001.horizon.GI50_nm	RBN011364.002.horizon.IC50_nm	RBN011595.001.horizon.IC50_nm	RBN011628.001.horizon.IC50_nm	RBN011364.002.horizon.Delta.1um	RBN011595.001.horizon.Delta.1um	RBN011628.001.horizon.Delta.1um	RBN011364.002.horizon.EMax.1um.fixed	RBN011595.001.horizon.EMax.1um.fixed	RBN011628.001.horizon.EMax.1um.fixed	Response.group
A253	ACH-000740	A253_SALIVARY_GLAND		upper_aerodigestive	A-253	primary	salivary_gland	carcinoma		other	upper_aerodigestive	Salivary_Gland:Carcinoma	150.1577888	HNSC	5.14608493862	6.24126817733	3.8489984304	0.417635946565566	middle	1.4443981263	NA	NA	NA	NA	NA	NA	NA	NA	10000	5266.13958481825	10000	5.90049269644134	10000	0.359369817744091	15.7023326213888	18.5010867963921	24.0865727518081	74.5046998866005	71.667905149422	69.8444526145087	Responder
A549	ACH-000681	A549_LUNG		lung	A549	primary	lung	carcinoma	lung_cancer	lung_NSC	lung_NSC	Lung:NSCLC_Others	159.4917529	LUAD	4.05050169745	5.94110631095	3.0478873294	-0.573918755162637	low	1.08972765367	-0.373835883354	-0.298331733171	NA	NA	NA	NA	NA	NA	10000	10000	2933.08263383957	10000	1112.74548678164	2907.69895289659	0	2.03571507693366	3.62877226223191e-06	100	90.1530314758821	92.4713241619673	Nonresponder
ACHN	ACH-000046	ACHN_KIDNEY		kidney	ACHN	metastasis	kidney	carcinoma	kidney_cancer	kidney	kidney	Kidney:Carcinoma	68.18873896	KIRC	4.31469652566	6.57939137064	4.464668267	0.219243244668666	middle	0.887417419048	NA	NA	NA	NA	NA	NA	NA	NA	1149.84354160372	858.001070078277	10000	1465.83990213982	1080.08879126639	4.3845717903114	38.5004480760233	52.1372237232664	24.3350325305241	56.4298991035095	42.7525457339043	74.4292312169638	Responder
BHY	ACH-000548	BHY_UPPER_AERODIGESTIVE_TRACT		upper_aerodigestive	BHY	primary	upper_aerodigestive_tract	carcinoma		upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	158.748475	HNSC	4.57470704642	6.60688633928	5.15461561133	3.06916399037416	high	1.03552694001	-0.839889352892	-1.1343890426	NA	NA	NA	NA	NA	NA	10000	10000	10000	5.92115307019864	33.1044940647989	1.48593970060086	28.6623591852625	36.1635358036866	34.6655747657212	64.2949405828769	62.3789910611551	63.6052160937344	Responder
CAKI1	ACH-000433	CAKI1_KIDNEY		kidney	Caki-1	metastasis	kidney	carcinoma	clear_cell_carcinoma	kidney	kidney	Kidney:Carcinoma	116.8955149	KIRC	4.7355221773	5.5734957155	3.71259578045	-0.0215267253498021	middle	1.0254200769	-0.348311268073	-0.227427485763	12	NA	NA	NA	NA	NA	93.566646976597	262.151227559206	11.9809274638036	138.849788434709	358.99649292107	2.98464583778411	99.4160908884832	88.8129271557141	46.244426369385	-4.09829768962514	6.03639523907691	48.2511138141087	Responder
CAL27	ACH-000832	CAL27_UPPER_AERODIGESTIVE_TRACT		upper_aerodigestive	CAL 27	primary	upper_aerodigestive_tract	carcinoma		upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	186.1487595	HNSC	6.32984117653	7.03815081027	5.48058827023	3.96142058380801	high	2.09692433412	-0.73038517774	-0.652124281185	9600	NA	NA	NA	21.9196163333081	21.9196163333081	8.69599598906053	26.7514147085358	1.18024247427687	9.72186479234261	33.9114089334613	1.07004895343697	74.9208353535509	71.636272542328	69.9430668585757	11.632592163486	9.99745302849675	17.2785859336393	Responder
CAL33	ACH-000518	CAL33_UPPER_AERODIGESTIVE_TRACT		upper_aerodigestive	CAL-33	primary	upper_aerodigestive_tract	carcinoma		upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	127.7052288	HNSC	4.15623479785	6.82043428408	3.14077865578	2.34874670656915	high	1.28748980708	-0.118431882277	-0.733750558405	NA	NA	NA	NA	NA	NA	10000	10000	10000	4.20401505644731	63.4657578351949	1.74033444868953	21.8524231114622	25.5679729977776	28.6547064142411	91.8729550102103	86.2564646139874	84.1425827156126	Responder
CALU1	ACH-000511	CALU1_LUNG		lung	Calu-1	metastasis	lung	carcinoma	lung_cancer	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	120.70541	LUSC	5.37538702683	6.59857363778	6.18229502503	0.666500339575267	high	1.0136429035	-0.784429715989	-0.230383955941	NA	NA	NA	NA	NA	NA	10000	506.188612210384	10000	3.97223499002465	10000	1.19839141766395	34.4081136585105	54.5679474589155	45.907208266926	62.8411121882748	41.6412547647859	52.8050944560024	Responder
CCK81	ACH-000963	CCK81_LARGE_INTESTINE		colorectal	CCK-81	primary	large_intestine	carcinoma	Colon Cancer	colorectal	colorectal	Colorectal:Carcinoma	689.3931011	COAD/READ	2.79908730607	6.07959144865	1.80735492206	-0.510053367337245	low	1.21387565482	-0.340272703168	-0.5177044883	NA	NA	NA	NA	NA	NA	1649.41888393346	3380.56497314053	887.289960759144	6023.1940250875	3068.20548701309	1087.49763971921	39.739636417199	0.0149926722918821	55.8591546713164	60.6408015353848	99.7628403494511	44.3270716634097	Nonresponder
CL11	ACH-000249	CL11_LARGE_INTESTINE		colorectal	CL-11	primary	large_intestine	carcinoma		colorectal	colorectal	Colorectal:Carcinoma	94.32458717	COAD/READ	4.35825558671	6.26021388677	1.44890095115	0.0671368341478338	middle	1.01945341259	NA	NA	NA	NA	NA	NA	NA	NA	10000	10000	10000	7430.44259586509	867.574997526724	1218.96019105099	1.35789242108331e-05	20.2753563108869	12.6022926785875	106.613234792905	93.1311946911952	95.0504361512392	Responder
COLO680N	ACH-000717	COLO680N_OESOPHAGUS		esophagus	COLO-680N	primary	oesophagus	carcinoma		esophagus	esophagus	Oesophagus:Carcinoma	150.9132136	ESCA	4.80889983926	6.47232529666	4.30231905095	0.785640497075992	high	1.64919008673	NA	NA	10000	NA	NA	NA	NA	NA	21.0663494789961	64.2492560104217	2.76745515291496	16.5316778729549	34.4214249591281	0.836706047974241	71.5097211303721	60.0179328352981	45.4411882517705	19.3065300398544	30.1797473753571	42.2389692505563	Responder
DBTRG05MG	ACH-000863	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM		central_nervous_system	DBTRG-05MG	primary	central_nervous_system	glioma		glioma	glioma	CNS:Glioma_HighGrade	204.713137	GBM	3.09254574154	5.36492255851	0.214124805353	0.0781887542181959	middle	1.0361416595	NA	NA	NA	NA	NA	NA	NA	NA	10000	10000	3512.56610178756	10000	10000	10000	10.3429345817684	8.22759461694524	21.0541593151096	86.3933482656228	88.0873853527729	72.868333112554	Nonresponder
DETROIT562	ACH-000207	DETROIT562_UPPER_AERODIGESTIVE_TRACT		upper_aerodigestive	Detroit 562	metastasis	upper_aerodigestive_tract	carcinoma		upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	92.96836238	HNSC	4.47832471149	5.62029314995	3.08406426479	0.247775654644707	middle	1.11327504855	-0.103209360354	-0.760772546745	NA	NA	NA	NA	NA	NA	4257.46166172801	5929.41126142355	927.969804516455	6715.67169547583	6299.45706907082	3360.72251870843	2.28159042812291	0.0306178572992195	43.7709115573928	86.5163827538706	89.6435630994714	48.1971305526308	Nonresponder
EBC1	ACH-000563	EBC1_LUNG		lung	EBC-1	primary	lung	carcinoma	lung_cancer	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	161.3592702	LUSC	4.33985000288	5.88923015239	3.67129337248	0.238102777626261	middle	1.05241900465	NA	NA	43	NA	NA	NA	35.2244248461439	35.2244248461439	7.89410885322839	32.2149948038198	0.515371940334103	25.2053002471012	98.2254553462187	1.74077041717442	91.6241569157449	81.8140645716862	86.0195559828888	-18.1338472032935	-9.43921200948765	-11.0607025983013	Responder
EFE184	ACH-000435	EFE184_ENDOMETRIUM		uterus	EFE-184	metastasis	endometrium	carcinoma		endometrium	endometrium	Endometrium:Carcinoma	115.679843	UCEC	2.97636363573	6.93380866199	3.30012372457	0.602597797681619	high	1.13320338432	NA	NA	NA	NA	NA	NA	NA	NA	26.4670412191679	136.462777734034	2.54677825307342	22.2945997173339	139.424964705589	0.884225648357206	135.159848701815	112.787535627318	114.473493130977	-10.0145624374003	5.17725255125404	17.852067072159	Responder
EFO27	ACH-000936	EFO27_OVARY		ovary	EFO-27	metastasis	ovary	carcinoma		ovary	ovary	Ovary:Carcinoma	426.5639766	OV	3.8052924556	6.29645740737	0.678071905113	0.28678884822103	middle	0.901928089698	0.0353852590418	-0.824073490205	NA	NA	NA	NA	NA	NA	10000	4147.75055397474	2056.99866215848	10000	3162.80233336135	10000	25.3783496369431	0.00903426993816936	32.7028819324575	73.4163746372849	90.9917834825294	61.9201042019874	Nonresponder
EN	ACH-000978	EN_ENDOMETRIUM		uterus	EN	primary	endometrium	carcinoma	Endometrial Cancer	endometrium	endometrium	Endometrium:Carcinoma	1022.278488	UCEC	2.95977015521	7.22949179114	1.18903382439	-0.835995153828538	low	0.999450104839	-0.541091299918	0.0197861708063	NA	NA	NA	NA	NA	NA	611.613737163883	1360.95791558261	1431.20668416447	10000	10000	10000	50.5617896914911	38.6863915887292	47.2096408059944	42.9555005222546	54.3342343711021	52.2295653304793	Nonresponder
EVSAT	ACH-001065	EVSAT_BREAST		breast	EVSA-T	metastasis	breast	carcinoma		breast	breast	NA	NA	BRCA	NA	NA	NA	NA	NA	1.01704956917	NA	NA	NA	NA	NA	NA	NA	NA	10000	10000	543.250497893855	10000	3565.90642665102	797.477314421868	8.8239021159892	0.00202456643698667	60.9367591907592	83.7025093430889	95.9478081846814	31.0390735398173	Nonresponder
FADU	ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT		upper_aerodigestive	FaDu	primary	upper_aerodigestive_tract	carcinoma		upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	193.3167422	HNSC	3.45680614923	6.89020346668	1.71369581484	1.12771244666776	high	1.18469154063	-0.449939939853	-0.190732358741	NA	NA	NA	NA	NA	NA	725.281208394518	873.551976314209	307.67166952605	53.8921723411457	10000	3.68843818518353	25.9830066288346	28.6886417309016	27.7306893815911	49.4430021325867	48.3171413782558	48.7209872703653	Nonresponder
GSS	ACH-000746	GSS_STOMACH		gastric	GSS	metastasis	stomach	carcinoma		stomach	stomach	Gastric:Carcinoma	191.9872147	STAD	2.82781902462	6.32264926213	6.83781712667	-0.688626165701275	low	1.00907989447	0.283633442227	0.0728710421711	NA	NA	NA	NA	NA	NA	663.767220958421	3753.61525681782	353.455123756607	602.165335243806	956.894161210626	556.73005179424	34.7683528664438	19.248969088024	77.3113053899534	44.9852333269839	59.9728327903625	1.06901972489163	Responder
GSU	ACH-000485	GSU_STOMACH		gastric	GSU	metastasis	stomach	carcinoma		stomach	stomach	Gastric:Carcinoma	179.8861578	STAD	4.35684807924	5.30122180533	1.73118324157	-0.455860621442316	low	1.48497756897	-0.425434769206	-0.0995130549	NA	NA	NA	NA	NA	NA	78.7863959844535	54.589449759047	1.58757181563701	618.740382667012	15.7630859036055	0.46455824659602	67.5846192833482	56.1754266152976	43.458550521907	24.175939447065	37.7948563330332	44.6643544753818	Responder
HARA	ACH-000843	HARA_LUNG		lung	HARA	metastasis	lung	carcinoma	Lung Cancer	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	233.5534525	LUSC	4.71424551767	6.5581145386	4.36246988875	0.0793914532665497	middle	1.24814079833	-0.479454269842	-0.839935949321	10000	NA	NA	NA	NA	NA	8941.43021775027	10000	1240.73861569801	7661.83639749	10000	1009.46904800498	0.0521976979461414	2.26863960506307e-07	40.813730769294	100.451032169009	101.332727983593	62.2419397844883	Nonresponder
HCC1143	ACH-000374	HCC1143_BREAST		breast	HCC1143	primary	breast	carcinoma	breast_cancer	breast	breast	Breast:Carcinoma	113.6520826	BRCA	3.45154083302	6.99050111136	4.82731094395	1.78369235641535	high	1.30886291417	-0.0987255828428	-0.421476345257	NA	NA	NA	NA	NA	NA	8824.33764405551	9056.06213536226	2784.22960385715	10000	6941.36895409101	10000	10.3063504055353	5.16911926916693	29.9841251393829	87.0724492122622	97.7494838687774	73.9985052001645	Nonresponder
HCC1187	ACH-000111	HCC1187_BREAST		breast	HCC1187	primary	breast	carcinoma	ductal_carcinoma	breast	breast	Breast:Carcinoma	82.86196811	BRCA	2.49569516262	7.64810587494	8.79288788029	1.11547796741642	high	0.846676815586	NA	NA	NA	NA	NA	NA	NA	NA	203.823627470671	749.544243734672	97.8931306202714	650.68792967042	10000	10000	62.3787617918446	36.7745917951385	65.3493115985893	23.3000600374864	46.0722357261772	22.4729596102308	Responder
HCC1195	ACH-000868	HCC1195_LUNG		lung	HCC-1195	primary	lung	carcinoma	lung_cancer	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	254.5878645	LUAD	3.48155728071	6.40377898395	0.83995958749	-0.0231725924754961	middle	1.20445549749	NA	NA	NA	NA	NA	NA	NA	NA	320.191059398834	388.58774265252	27.8593891503467	494.554352550041	1299.16056705545	33.2353176346382	82.3572999210619	68.2253896880678	102.821916595418	27.2280666614715	32.0651365160064	9.99265999066314	Responder
HCC15	ACH-000878	HCC15_LUNG		lung	HCC-15	primary	lung	carcinoma	lung_cancer	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	264.6207321	LUSC	4.16027483141	6.83642913116	4.49185309633	0.468529426698735	middle	0.666105223685	-0.0454790492105	-0.20095376444	NA	NA	NA	NA	NA	NA	3539.5145493799	4550.06539660858	1148.17110384927	10000	4020.734088388	1026.89262498063	15.2463060160211	9.17686498962098	37.4897421063527	74.3275382903476	80.9279508208501	53.0002659013897	Nonresponder
HCC1588	ACH-001078	HCC1588_LUNG		lung	HCC-1588	primary	lung	carcinoma		lung_NSC	lung_NSC	Colorectal:Carcinoma	147.6715363	COAD/READ	3.89917563048	5.90038381667	0.124328135002	-0.484171958243206	low	NA	NA	NA	NA	NA	NA	NA	NA	NA	2510.21943782497	3517.79627342941	1718.54130700544	10000	3403.43301067408	2425.44680727286	16.5146363434486	0.00289040381251482	15.9825457384214	65.6450663660486	86.0407249631498	66.4847150239614	Nonresponder
HCC1599	ACH-000196	HCC1599_BREAST		breast	HCC1599	primary	breast	carcinoma		breast	breast	Breast:Carcinoma	78.58675429	BRCA	3.2372577709	6.51048727047	7.93716781129	-0.241512663198663	middle	1.82459002666	NA	NA	NA	NA	NA	NA	NA	NA	101.174557797362	3186.34637371757	241.369759066278	10000	10000	417.230183808671	94.704206761829	50.4131673895852	109.266043927984	25.0237886889737	72.9594602728127	-0.889211463344211	Responder
HCC1937	ACH-000223	HCC1937_BREAST		breast	HCC1937	primary	breast	carcinoma	ductal_carcinoma	breast	breast	Breast:Carcinoma	82.85897134	BRCA	4.91981677005	6.48188013962	4.04875931192	1.74327854469491	high	1.54517529192	-0.522951953518	-0.864667913372	NA	NA	NA	NA	NA	NA	24.9310431873803	10000	1.93232135438615	5.9686489561361	11.7585179257366	0.564948896242307	64.8222746915279	49.5399369740123	73.7287513739209	37.6539493186603	51.45507877196	33.7881986034935	Responder
HCC2108	ACH-000314	HCC2108_LUNG		lung	HCC-2108	primary	lung	carcinoma		lung_NSC	lung_NSC	Lung:NSCLC_Adeno	107.6232242	LUAD	2.79077203786	6.81288323491	7.123914459	0.395352691702957	middle	1.20318114657	NA	NA	NA	NA	NA	NA	NA	NA	10000	10000	3500.86597764041	1472.60214177299	10000	10000	20.5755615628236	9.11910509782533	26.0942921997728	88.5071559405454	93.3261224667163	81.1652956106479	Nonresponder
HCC2218	ACH-000755	HCC2218_BREAST		breast	HCC2218	primary	breast	carcinoma		breast	breast	Breast:Carcinoma	168.9209571	BRCA	1.49569516262	7.13903966768	5.29719141657	-0.569904207741022	low	0.594761648203	NA	NA	NA	NA	NA	NA	NA	NA	4536.27710786724	10000	843.799636602468	3740.84911543537	8361.40317769038	1298.0727262577	2.8554309210449e-06	0.040327654762379	48.6010603740871	99.2598695715282	95.6738105693845	40.4008985453283	Nonresponder
HCC2279	ACH-000731	HCC2279_LUNG		lung	HCC-2279	primary	lung	carcinoma	lung_cancer	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	189.5257761	LUAD	4.7782085764	6.02458563828	6.05354581773	1.48879657059761	high	1.12547232919	NA	NA	NA	NA	NA	NA	NA	NA	165.094500090635	673.187112288366	54.9361983449197	67.7430429989249	10000	10000	89.351245364958	62.009343968987	108.621322660803	28.8040029468536	42.8387625280964	6.43616365399923	Responder
HCC38	ACH-000276	HCC38_BREAST		breast	HCC38	primary	breast	carcinoma	breast_cancer	breast	breast	Breast:Carcinoma	96.75975762	BRCA	3.6194130106	6.72860081064	6.64024493622	0.723340347739719	high	1.32819965156	NA	NA	NA	NA	NA	NA	NA	NA	1171.57031670857	4708.98129833793	9160.71773342713	10000	10000	80.0171475417196	44.9800383912443	35.9909870743995	42.2865248974196	52.4159025353296	62.6461813411977	57.9397440809827	Responder
HCC44	ACH-000667	HCC44_LUNG		lung	HCC-44	primary	lung	carcinoma	lung_cancer	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	142.2243369	LUAD	4.85249829879	5.98732086593	6.05593312861	-0.0762664589290589	middle	1.16198252292	NA	NA	NA	NA	NA	NA	NA	NA	10000	10000	10000	63.6242867109139	65.1478406433588	2.49082865084221	58.082338604744	49.1246150223079	43.3263493610528	58.9192144002994	68.9186935940566	72.1556991093263	Responder
HCC70	ACH-000668	HCC70_BREAST		breast	HCC70	primary	breast	carcinoma	breast_cancer	breast	breast	Breast:Carcinoma	131.4398136	BRCA	4.81249822533	7.59492171503	7.71808758396	1.79621784675146	high	1.3870986597	NA	NA	NA	NA	NA	NA	NA	NA	10000	10000	658.81039208591	10000	2747.64537737161	905.797602917709	14.4355227732133	18.2533563813095	52.2146074233916	67.5097010087637	65.9284648250545	34.0243774580842	Nonresponder
HCC95	ACH-000454	HCC95_LUNG		lung	HCC-95	primary	lung	carcinoma	lung_cancer	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	115.3890534	LUSC	5.85847839042	5.80296865101	5.68285416857	-0.253478086196731	middle	1.6795823417	-0.778113011567	-0.604818820681	NA	NA	NA	NA	574.758147494969	574.758147494969	248.253692579611	478.412817853716	10000	38.1579790496206	118.583033594478	0.81864373113406	55.0049253819148	51.687650994488	41.639247957364	43.2583824810462	44.3294311767062	55.3359524118705	Responder
HCT116	ACH-000971	HCT116_LARGE_INTESTINE		colorectal	HCT 116	primary	large_intestine	carcinoma	colon_carcinoma	colorectal	colorectal	Colorectal:Carcinoma	726.558281	COAD/READ	5.30524096595	6.88898672119	1.01435529298	-0.230196233535952	middle	0.982606135559	NA	NA	NA	NA	NA	NA	NA	NA	3698.81321043207	10000	1344.12766739908	3246.86622853695	10000	1487.94882809095	0.00511002269804806	0	42.6864603053339	96.437246332777	100	58.010105431974	Nonresponder
HDQP1	ACH-000643	HDQP1_BREAST		breast	HDQ-P1	primary	breast	carcinoma	breast_cancer	breast	breast	Breast:Carcinoma	148.6957261	BRCA	4.38474058729	6.51080372036	5.05701696537	2.31493526509761	high	1.56834406155	NA	NA	NA	NA	NA	NA	NA	NA	462.90978657401	527.261407132112	10000	6.10367440182872	271.34254371697	0.972886878760737	43.2343652568265	44.1141794025354	39.3300427396203	49.4346154895391	44.2887602938466	52.6730060129042	Responder
HEC1B	ACH-000941	HEC1B_ENDOMETRIUM		uterus	HEC-1-B	primary	endometrium	carcinoma		endometrium	endometrium	Endometrium:Carcinoma	863.7979174	UCEC	2.3476656563	6.33037912758	1.37851162325	-0.876828698279107	low	1.39204523211	-0.0908388269998	-0.0375723018717	NA	9762	3945	10000	NA	9762	14.7082843650784	44.7679654995577	1.64136081392528	1.50436442886088	14.0822647942594	0.598482196959372	51.2921991371832	46.9820122414477	54.2709590641185	40.2643799553323	39.237592809158	30.7380008371533	Responder
HS578T	ACH-000148	HS578T_BREAST		breast	Hs 578T	primary	breast	carcinoma	breast_cancer	breast	breast	Breast:Carcinoma	93.3026384	BRCA	5.84523912564	5.43195718769	4.31614574229	-0.440422980856102	low	1.31454185012	-0.106197568238	-0.127408789359	NA	NA	NA	NA	NA	NA	199.823249458522	10000	10000	21.8301580284697	4.7207316287057	0.210068248418076	37.618153832851	32.8558935777561	34.8232288735417	45.2556675668017	55.3638246753082	56.7665754985888	Responder
